[Sun Nov 01 21:56:33.070792 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP Notice:  fgets(): read of 8192 bytes failed with errno=21 Is a directory in /home/artur/Projects/beetroot/homework12/userExplode.php on line 8, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.070843 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP Stack trace:, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.070855 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP   1. {main}() /home/artur/Projects/beetroot/homework12/homework12.php:0, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.070863 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP   2. require_once() /home/artur/Projects/beetroot/homework12/homework12.php:14, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.070870 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP   3. fgets() /home/artur/Projects/beetroot/homework12/userExplode.php:8, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.071329 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP Notice:  Undefined offset: 2 in /home/artur/Projects/beetroot/homework12/userFilter.php on line 7, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.071342 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP Stack trace:, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.071350 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP   1. {main}() /home/artur/Projects/beetroot/homework12/homework12.php:0, referer: http://www.beetroot/homework12/
[Sun Nov 01 21:56:33.071358 2020] [php7:notice] [pid 12357] [client 127.0.0.1:38552] PHP   2. require_once() /home/artur/Projects/beetroot/homework12/homework12.php:15, referer: http://www.beetroot/homework12/
[Sun Nov 01 22:01:40.692334 2020] [php7:notice] [pid 12683] [client 127.0.0.1:38622] PHP Notice:  fgets(): read of 8192 bytes failed with errno=21 Is a directory in /home/artur/Projects/beetroot/homework11/homework11.php on line 33, referer: http://www.beetroot/homework11/
[Sun Nov 01 22:01:40.692369 2020] [php7:notice] [pid 12683] [client 127.0.0.1:38622] PHP Stack trace:, referer: http://www.beetroot/homework11/
[Sun Nov 01 22:01:40.692378 2020] [php7:notice] [pid 12683] [client 127.0.0.1:38622] PHP   1. {main}() /home/artur/Projects/beetroot/homework11/homework11.php:0, referer: http://www.beetroot/homework11/
[Sun Nov 01 22:01:40.692384 2020] [php7:notice] [pid 12683] [client 127.0.0.1:38622] PHP   2. fgets() /home/artur/Projects/beetroot/homework11/homework11.php:33, referer: http://www.beetroot/homework11/
[Sun Nov 01 23:01:52.332079 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP Warning:  fopen(/home/artur/Projects/beetroot/homework11/login1): failed to open stream: Permission denied in /home/artur/Projects/beetroot/homework11/homework11.php on line 46, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332173 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP Stack trace:, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332202 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP   1. {main}() /home/artur/Projects/beetroot/homework11/homework11.php:0, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332222 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP   2. fopen() /home/artur/Projects/beetroot/homework11/homework11.php:46, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332403 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP Warning:  fwrite() expects parameter 1 to be resource, bool given in /home/artur/Projects/beetroot/homework11/homework11.php on line 47, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332447 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP Stack trace:, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332475 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP   1. {main}() /home/artur/Projects/beetroot/homework11/homework11.php:0, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332532 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP   2. fwrite() /home/artur/Projects/beetroot/homework11/homework11.php:47, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332640 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /home/artur/Projects/beetroot/homework11/homework11.php on line 49, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332658 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP Stack trace:, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332674 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP   1. {main}() /home/artur/Projects/beetroot/homework11/homework11.php:0, referer: http://www.beetroot/homework11/homework11.php
[Sun Nov 01 23:01:52.332689 2020] [php7:notice] [pid 12355] [client 127.0.0.1:38950] PHP   2. fclose() /home/artur/Projects/beetroot/homework11/homework11.php:49, referer: http://www.beetroot/homework11/homework11.php
